,2021_CF1H_112,2021_CF1H_114,2021_CF1H_124,2021_CF1H_132,2021_CF1H_134,2021_CF1H_314,2021_CF1H_324,2021_CF1H_334,2021_CF2A_112,2021_CF2A_114,2021_CF2A_122,2021_CF2A_124,2021_CF2A_1312,2021_CF2A_1314,2021_CF2A_1322,2021_CF2A_1324,2021_CF2A_1332,2021_CF2A_1334,2021_CF2A_134,2021_CF2A_312,2021_CF2A_314,2021_CF2A_322,2021_CF2A_324,2021_CF2A_3312,2021_CF2A_3314,2021_CF2A_332,2021_CF2A_3324,2021_CF2A_3332,2021_CF2A_3334,2021_CF2A_334,2021_CF2E_111,2021_CF2E_112B,2021_CF2E_112P,2021_CF2E_311,2021_CF2E_312B,2021_CF2E_312P,2021_CF2H_112,2021_CF2H_132,2021_CF2H_314,2021_CF2H_324,2021_JF1H_414,2021_JF1H_424,2021_JF2A_112,2021_JF2A_114,2021_JF2A_122,2021_JF2A_124,2021_JF2A_1312,2021_JF2A_1314,2021_JF2A_132,2021_JF2A_1322,2021_JF2A_1324,2021_JF2A_1332,2021_JF2A_1334,2021_JF2A_134,2021_JF2E_111,2021_JF2E_112B,2021_JF2E_112P,2021_JF2H_114,2021_JF2H_122,2021_JF2H_124,2021_JF2H_412,2021_JF2H_414,2021_JF2H_422,2021_JF2H_424,2021_KF1H_112,2021_KF1H_114,2021_KF1H_122,2021_KF1H_124,2021_KF1H_212,2021_KF1H_213,2021_KF1H_224,2021_KF1H_234,2021_KF2A_212,2021_KF2A_214,2021_KF2A_222,2021_KF2A_224,2021_KF2A_2312,2021_KF2A_2314,2021_KF2A_2322,2021_KF2A_2324,2021_KF2A_2332,2021_KF2A_2334,2021_KF2A_234,2021_KF2A_242,2021_KF2E_211,2021_KF2E_212B,2021_KF2E_212P,2021_KF2H_112,2021_KF2H_212,2021_KF2H_213,2021_KF2H_222,2021_KF2H_224,Class
AAC(3)-Ib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01991854185736321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(3)-Ib/AAC(6')-Ib'',0,0,0,0,0,0,0,0,0.12615945933148723,1.7504831494090778,0,0,1.5399973438568932,0,0.7461037256151222,0,0.018398699030244096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42338091728863936,0.2204159601940551,0.16919536882683495,1.1051439278513158,0.6586910864763991,0.6008907231253748,0,0,0,0,0,0,0,0.018007766383243504,0.22710346510129717,0,0.056329026967418185,0,0,0.07608358463251493,0,0.10828957403807356,0,0,0.14707621372381133,0.18778529159964702,0.17774247255308095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05276912666844308,0,0.5203715911912102,0,0.20008165835780958,0,0.10109989325446532,0,0.16160333730800386,0,0,0.5038087760356379,0.15849736832705968,0.029365992053058277,0.19038475269163796,0,0,0,0.022751964773514318,0,aminoglycoside antibiotic
AAC(3)-Ic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03143667097987649,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(3)-Id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670102797737189,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(3)-VIa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039424427649885324,0,0,0,0,0,0,0,0,0,0,0.037733097141431686,0,0,0,0,0,0,0,0,0.040231397806042346,0,0.19865360897092976,0,0,0,0,0,0,0,0,0,0.016135911344039647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(3)-Xa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27973303034677993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-29a,0,0,0,0,0,0,0,0,0,0.07920630927353958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-29b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037504376336348275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-30/AAC(6')-Ib',0,0,0,0,0,0,0,0,0,0.481757887197291,0,0,0.10814951910180885,0,0.20383589291418502,0,0,0,0,0,0,0.07803550666540368,0,0,0,0,0,0,0,0,0.09949054388443171,0.021375996139609298,0,0.4562270170183829,0.10319081748739092,0.0941357887072586,0,0,0,0,0,0,0,0,0,0,0.03823962399820666,0,0,0,0,0.015752925840033353,0,0,0,0.05883704258375433,0.06033128641537504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10746883114182922,0,0.09634374249327289,0,0.48898005286469554,0,1.0123346018661041,0,0.6911498828526456,0,0,0.09619214816838968,0.016139671043060348,0.014951587417258334,0,0,0,0,0,0,0
AAC(6')-31,0,0,0,0,0,0,0,0,0,1.1943114133774704,0,0,0.3437310297034234,0,0.17668650337170375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347831281332393,0.38725351145943354,0.059737054110108746,0.6380104951171806,0.2623766522160017,0.2393530131471381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1108077787816569,0,0.030040463229831043,0,0,0.10385508537791328,0.16830130785585537,0.28762590035236935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22965659547815043,0,0.07770613243198653,0,0.032720314289720366,0,0.09414333952477899,0,0,0.2445815860405567,0.12311190935171612,0,0.061616770735471976,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02665282974380833,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-IIa,0,0,0,0,0,0,0,0,0,5.639360079554395,0,0.06241184403275314,3.0524809920401856,0,3.4684328814054055,0,0,0,0,0.6212247217331921,0,0.8346406365082306,0,0,0,0,0,0,0,0,2.4829379212897296,2.0005144213264807,6.812621431774602,0.8403833893193688,1.6248814956529,4.13924612953367,0,0,0,0,0,0,0,0,1.0306053986933867,0,0.03408314312883637,0,1.2727299401754983,0.2416894305310053,0,0.028081302584407282,0,0,1.0436307220856602,0.23598770340657982,1.2905649094071514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5135456787699875,0,8.329544867298857,0,3.123448671016154,0.025447823636603112,2.8751197904141255,0,3.46147322281688,0,0,11.488688305155101,1.352223743477272,2.3454490174551332,2.0735382847502284,0.07285044842846437,0,0,0.08259952428645416,0,aminoglycoside antibiotic
AAC(6')-IIb,0,0,0,0,0,0,0,0,0,0.029262330926057685,0,0,0.06569081900998759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-IIc,0,0,0,0,0,0,0,0,0,1.2553994822163594,0,0,0.6432935125848523,0,0.6928308070036547,0,0,0,0,0.5922556932585872,0,4.376457638063879,0,0,0,0,0,0,0,0,0.5354275211466134,0.07265623558333523,0.026618583696732395,0.3876747709379006,1.13991099939439,0.6399282631291359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09255479111399526,0.02499812171952256,0,0.03352520601581209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8218859832401031,0,0.8596058268052634,0,0.4155063661648191,0,0.8748021851552176,0,0.6991646976797056,0,0,1.2533222206948733,0.08228723474803824,0.07622985501856061,0.05491235526684549,0,0,0,0.3149909319939391,0,aminoglycoside antibiotic
AAC(6')-Ia,0,0,0,0,0,0,0,0,0.4555379396401809,0,0,0,0.8628577848338908,0,0.26283311204266413,0,0.13286844272651954,0,0,0,0,0.41506453275003896,0,0,0.09444507255122533,0,0,0,0,0,0.5291821361204367,0.45478876111082256,0.2776965758632082,0,0.12196968697608729,0.4450672244465702,0,0,0,0,0,0,0,0,1.0250345587004495,0,0.03389890992273455,0,0,0.13736171495816207,0,0.0558590235192534,0,0,0.12069645057433165,0.2086329726213126,1.577744668527483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09526966652572967,0,0.1281111386667304,0,1.3004226270780013,0,0.48673678338005644,0,0.5543431235441041,0,0,0.22739477188635543,0.028615200552020506,0.34461388511994334,0.11457388720541815,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Iad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08186044352302578,0,0,0,0,0,0,0,0,0,0,0,0.035736734601829655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04140711772547117,0,0,0,0,0,0,0,0,0,0.034056393561532866,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Iai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795970540329945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Iaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057541435892649935,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Iak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03686992171662769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Ian,0,0,0,0,0,0,0,0,0,0.3049442907031274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036901719651536054,0,0,0.029689989592863345,0.02708468306664984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05572433791709257,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Ib,0,0,0,0,0,0,0,0,0,8.301596056196827,0,0.03120592201637657,6.715458182488427,0,4.2612175400123595,0,0.10019291537122058,0,0,0,0,0.2782135455027435,0,0,0,0,0,0,0,0,3.310583895052978,0.9716784332157172,0.6700939113220893,4.689881495233913,2.4526513141930577,2.2933660987956754,0,0,0,0,0,0,0,0.032688010717409406,0.2061210797386773,0.029346555870705525,0.37491457441720005,0,0,0.621487107079728,0,0.11232521033762913,0,0,0.9950897582677225,0.5768588305494173,0.9679236820553638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5747246187149997,0,2.4044047039625465,0,5.193641394829197,0,10.215851170194863,0,9.152369877278527,0,0,1.5432566380059034,0.6329557948191491,0.31983395692569994,1.0079699995313613,0,0,0,0.08259952428645416,0,aminoglycoside antibiotic
AAC(6')-Ib-Suzhou,0,0,0,0,0,0,0,0,0,0,0,0,0.03437310297034234,0,0,0,0,0,0,0,0,0.1488118964317,0,0,0,0,0,0,0,0,0,0,0.029868527055054373,0,0,0,0,0,0,0,0,0,0,0.06993713920934105,0,0.06278798000243972,0.3281493315194943,0,0,0.40629518886607535,0,0.2703641690684794,0,0,0,0.11220087190390358,0.028762590035236933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038853066215993264,0,0.0981609428691611,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Ib-cr,0,0,0,0,0,0,0,0,0,0.10587376013448006,0,0,0.0297094156326577,0,0,0,0,0,0,0,0,0.9003493633355117,0,0,0,0,0,0.04000716426452835,0,0,0,0,0.051632026668033695,0,0.028347226244442393,0.025859747651575223,0,0,0,0,0,0,0,0.03022409031157453,0,0.08140351176195704,0,0,0,0,0,0,0,0,0,0,0.12430064035328525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039699431580142594,0,0,0,0.11312349864988752,0,0.10849349680577547,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic;fluoroquinolone antibiotic
AAC(6')-Ib7,0,0,0,3.800960701413924,0.09470325019700049,0,0,0.04101062122105263,33.74209662104893,6.538617393132906,35.390805349980276,0,25.075771256570757,0,20.74908813388533,0.042359134219882875,5.062109491807759,0.06825527129034092,0.04085725863676891,35.47407376517805,0.19176514806707456,43.149748359965976,0.4774748795241857,5.10357523757346,0.334719126857791,46.91533321028749,0.6477733223389858,5.612652592758487,0,0.14890616172278773,14.315965004305545,110.82463003932035,22.695045254597943,13.416220693561389,21.07306732596897,22.575757858810633,0,0.2979915998428383,0,0,0.6051678236814748,0.023330912549495205,23.38769281393509,0.2765330561840612,27.609168381854918,0.7241065893001672,14.488861672148202,0,8.254702079421783,15.237413993587044,0.057341123356744704,21.59828737932635,0.020825640941315067,0.18369074419591783,8.555112397031225,22.718312174350462,23.560638694150903,0,4.548786377657339,0,0.040584511171640095,0.01826969755054921,0.04088220666428884,0,0,0.11632746908711236,0.5511020255336001,0.0600881039750638,0.11182131561358731,0.1680170179948491,0,0,31.19807815308108,0.043969325696596034,33.32607570795992,0,28.728046477498577,0.0897011407880263,25.400993103930503,0.04287032360747171,28.600818688117155,0.09204968812671814,0.01978556295471863,42.43068825413886,7.4640722359446885,21.608194535592904,23.7137217886459,0.667656217014892,0,1.8839343881731774,0.3493864935335073,0,aminoglycoside antibiotic
AAC(6')-Ib8,0,0,0,0,0,0,0,0,0,0.7959354011887688,0,0,1.0510531041598012,0,0.459227854096766,0,0,0,0,0,0,0.11375842749445512,0,0,0,0,0,0,0,0,0.07251755198687466,0.062322904300371997,0.045665659141949796,0.1773540285416647,0.20057237413845458,0.20584359130653873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019847860761112317,0,0.021987402160270012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783328369211555,0,0.035111941708659444,0,4.039337444108966,0,4.902521045933583,0,5.973290289136645,0,0,0.04674225866552861,0.09411221514886745,0.021796091879381033,0.047102598073338574,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Ib9,0,0,0,0,0,0,0,0,0,0.051893788834388006,0,0,0.029124008428073313,0,0,0,0,0,0,0,0,0.12608692702587393,0,0,0,0,0,0,0,0,0.0803765970297872,0.017269277669438053,0.05061464683221037,0.024571832772090255,0.05557732042013829,0.07605058792113502,0,0,0,0,0,0,0,0,0,0,0.09267928574934815,0,0,0,0,0.025453003327738616,0,0,0.021998860449508724,0.023766687152058395,0.09748109332139415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038917176770681655,0,0,0,0.05544723209686604,0,0.07976677043478812,0,0,0,0,0,0.026103656567736895,0,0,0,0,0,aminoglycoside antibiotic
AAC(6')-Ic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02401139292394469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04577210540514275,0,0,0,0,0,0,0,0,0.13435947048933514,0,0,0,0,0,0,aminoglycoside antibiotic
